station_name,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK,pref_cd,lon,lat
日進,6.88,5.59,,7.97,,5.85,7.26,,,14.88,,,11.0,139.606111,35.931554999999996
西大宮,,5.92,,8.31,8.6,,9.41,,,13.0,,,11.0,139.5797968,35.92228133
指扇,4.77,4.78,,7.56,,,7.99,,7.63,9.3,,,11.0,139.564951,35.917023
南古谷,,4.32,,6.38,,,,,,,,,11.0,139.519082,35.903344
川越,5.94,6.55,7.51,9.25,,6.91,10.94,,,,,,11.0,139.483078,35.906742
浜川崎,5.4,6.37,,,,,,,,,,,14.0,139.713483,35.510428000000005
小田栄,5.77,6.58,,9.41,,,,,,,,,14.0,139.70494399999998,35.5145
川崎新町,5.71,7.31,7.95,9.79,,8.3,,,,,,,14.0,139.699348,35.518234
八丁畷,6.06,7.17,,9.6,9.67,9.42,,,,,,,14.0,139.69144599999998,35.523071
尻手,5.94,7.87,8.69,11.12,9.64,9.95,11.81,,12.29,,,,14.0,139.684233,35.530939000000004
矢向,6.14,7.16,7.83,10.38,7.45,9.09,,,,18.78,,,14.0,139.68055,35.539408
鹿島田,6.31,6.97,9.13,12.18,7.37,9.96,17.94,,,19.5,,,14.0,139.674964,35.551459
平間,6.1,7.43,10.22,11.08,,9.92,12.17,,10.7,,,,14.0,139.67103899999998,35.560565000000004
向河原,6.34,7.37,9.96,11.76,,9.01,,,,25.94,,,14.0,139.66725,35.572891
武蔵中原,6.85,7.29,8.03,10.84,,9.47,13.54,,10.84,,,,14.0,139.640613,35.581497999999996
武蔵新城,6.76,7.09,7.3,11.61,,9.31,11.86,,,18.01,,,14.0,139.62941899999998,35.587369
武蔵溝ノ口,7.23,7.37,9.39,12.97,,,,,,17.73,,,14.0,139.61139,35.598923
津田山,5.6,6.73,,10.55,,,,,,14.8,,,14.0,139.600002,35.604259000000006
久地,5.84,6.16,8.03,9.72,,8.39,17.72,,9.65,,,,14.0,139.592714,35.610363
宿河原,5.0,6.08,,10.28,7.97,8.92,11.26,,9.25,,,,14.0,139.579565,35.615429
登戸,6.05,6.34,6.98,12.71,10.93,8.64,12.58,,,14.07,,,14.0,139.570028,35.620889
中野島,5.51,6.28,7.3,9.94,5.61,7.38,11.1,,9.12,10.81,,,14.0,139.5501,35.630134999999996
稲田堤,5.17,5.5,,8.72,,7.49,9.33,,9.14,,,,14.0,139.535173,35.633701
矢野口,4.71,5.12,,8.35,6.09,7.43,,,,11.8,,,13.0,139.520849,35.641304999999996
稲城長沼,4.9,5.16,5.29,8.5,,6.74,8.3,,,10.28,,,13.0,139.502811,35.644184
南多摩,,5.66,,8.62,,7.8,,,,,,,13.0,139.489781,35.649249
府中本町,5.36,6.54,,9.96,,7.86,,,,14.73,,,13.0,139.477142,35.665766
分倍河原,5.18,5.55,5.87,9.8,,8.73,9.92,,,10.78,,,13.0,139.468798,35.668493
西府,5.91,5.71,,9.76,6.62,8.17,11.8,,,,,,13.0,139.457477,35.670912
谷保,6.01,5.97,8.39,,,7.95,12.04,,9.03,11.86,,,13.0,139.446724,35.681377000000005
矢川,5.1,5.72,10.96,11.24,,7.44,8.88,,,,,,13.0,139.431611,35.685078999999995
西国立,5.11,5.86,7.74,10.14,,7.81,12.97,,,14.87,,,13.0,139.423887,35.69375
新川崎,6.15,7.66,8.82,11.34,7.21,8.99,17.92,,,15.57,,,14.0,139.671481,35.551784000000005
保土ケ谷,5.34,6.36,6.77,9.86,,,,,,12.0,,,14.0,139.599671,35.446746000000005
東戸塚,6.28,6.96,,10.76,,9.13,12.52,,11.24,14.25,,,14.0,139.556794,35.430353000000004
北鎌倉,,,,,,,,,,,,,14.0,139.54513400000002,35.337198
鎌倉,7.57,7.13,,,,,,,,,,,14.0,139.550428,35.318793
逗子,,6.38,,,,,,,,,,,14.0,139.578292,35.297391999999995
東逗子,,5.93,,,,,,,,,,,14.0,139.601768,35.298781
田浦,3.95,,,,,,,,,,,,14.0,139.63772600000001,35.29271
横須賀,,4.11,,,,6.43,,,,,,,14.0,139.655855,35.284022
衣笠,5.42,5.54,,,,,,,,,,,14.0,139.661193,35.257090999999996
久里浜,,5.64,,,,5.88,,,,,,,14.0,139.700862,35.233107000000004
北府中,,5.88,,,,,,,,,,,13.0,139.471792,35.68088
新小平,4.84,5.2,,7.9,,7.32,9.4,,,,,,13.0,139.470745,35.73128
新秋津,5.33,5.52,,9.5,6.7,6.26,,,,,,,13.0,139.493592,35.778331
東所沢,5.2,5.81,7.3,8.26,,5.94,,,7.16,8.37,,,11.0,139.513878,35.79461
新座,5.8,5.56,,,,6.74,,,,,,,11.0,139.556328,35.80381
北朝霞,4.96,5.96,5.39,9.46,6.04,8.21,9.77,,,10.68,,,11.0,139.587322,35.815475
西浦和,5.36,5.32,,7.87,,7.15,9.23,,,,,,11.0,139.62770700000002,35.844139
東浦和,5.52,5.61,,8.38,,5.89,8.43,,7.94,16.73,,,11.0,139.704627,35.864079
東川口,5.07,5.7,6.32,9.4,5.47,6.32,11.88,,,15.03,,,11.0,139.744087,35.875246000000004
南越谷,6.23,5.68,,,,6.08,,,7.43,11.49,,,11.0,139.790499,35.876106
越谷レイクタウン,7.3,,,8.32,,,9.95,,,,,,11.0,139.822178,35.876353
吉川,6.3,5.62,5.4,7.58,7.0,6.13,8.04,,,,,,11.0,139.843162,35.87662
吉川美南,,6.08,,8.8,,,,,,,,,11.0,139.85816699999998,35.868056
新三郷,,,,,,,,,,,,,11.0,139.869341,35.858667
三郷,4.88,5.86,,7.45,6.9,6.51,,,,9.23,,,11.0,139.886341,35.845003999999996
南流山,4.15,6.16,7.72,9.14,,6.52,10.77,,8.12,11.8,10.7,,12.0,139.903865,35.838035
新八柱,4.48,5.14,,,,5.72,9.0,,,9.33,,,12.0,139.938393,35.792013
東松戸,5.51,5.83,,9.15,,6.6,10.47,,,14.34,,,12.0,139.943848,35.770610999999995
市川大野,,5.1,,7.22,,6.65,7.97,,6.0,,,,12.0,139.951227,35.755432
船橋法典,,6.03,,8.06,,8.1,8.32,,,9.37,,,12.0,139.966771,35.730435
南船橋,,,,,,,,,,,,,12.0,139.99577299999999,35.681804
市川塩浜,,,,,,,,,,,,,12.0,139.923684,35.666554
尾久,6.55,7.5,7.55,11.43,,8.97,14.83,,,,,,13.0,139.753846,35.746829999999996
宮原,5.91,5.32,,8.92,,5.86,7.83,,7.08,10.36,,,11.0,139.609455,35.940256
上尾,,5.87,,8.96,,5.98,,,,14.0,,,11.0,139.588434,35.973521999999996
北上尾,4.7,5.38,,6.81,,,,,5.98,,,,11.0,139.577223,35.985632
桶川,5.93,4.98,,6.28,,,6.25,,,8.42,,,11.0,139.564274,35.998375
北本,4.29,4.68,,,,6.21,7.07,,,8.49,,,11.0,139.533591,36.032112
鴻巣,,4.47,,,,5.13,,,,8.22,,,11.0,139.509552,36.0592
北鴻巣,,5.31,,,,,,,,,,,11.0,139.476894,36.085529
吹上,4.37,4.27,,,,5.06,,,,,,,11.0,139.45311999999998,36.103062
行田,,5.39,,5.76,,,6.13,,,,,,11.0,139.432103,36.113879
熊谷,4.95,5.52,,,,,,,,,,,11.0,139.389528,36.139627000000004
籠原,3.76,5.19,,6.72,,4.89,6.97,,,,,,11.0,139.330199,36.174479999999996
深谷,5.85,3.96,,6.24,,,5.78,,,,,,11.0,139.28127,36.191344
岡部,,,,,,,,,,,,,11.0,139.237622,36.205645000000004
本庄,,4.31,,5.83,,,5.88,,,,,,11.0,139.188299,36.236228999999994
神保原,,3.92,,4.7,,3.91,4.57,,,,,,11.0,139.149172,36.25359
八丁堀,11.01,9.81,14.21,17.62,,17.02,24.29,,,32.9,,,13.0,139.777705,35.674617
越中島,8.58,9.22,10.95,16.54,,,22.24,,,,,,13.0,139.792713,35.667946
潮見,6.41,8.05,,,,,16.6,,14.56,17.07,,,13.0,139.817341,35.658702000000005
新木場,,,,,,,,,,,,,13.0,139.827402,35.646172
葛西臨海公園,,,,,,,,,,,,,13.0,139.861529,35.644391999999996
舞浜,,6.35,,,,,,,,,,,12.0,139.883714,35.636115000000004
新浦安,6.09,7.2,8.4,,,,,,,,,,12.0,139.912553,35.649526
二俣新町,,,,,,,,,,,,,12.0,139.959525,35.691272999999995
新習志野,,,,,,,,,,,,,12.0,140.012825,35.667342
海浜幕張,7.9,,,,,,,,,,,,12.0,140.04191699999998,35.648373
検見川浜,,,,,,,,,,,,,12.0,140.058888,35.637291
稲毛海岸,7.36,6.81,,,,,,,,,,,12.0,140.074034,35.629501
千葉みなと,6.14,6.18,6.57,8.25,,,12.03,,,16.59,,,12.0,140.10341,35.606171999999994
蘇我,5.89,5.95,6.08,8.95,,6.07,11.21,,7.75,10.48,,,12.0,140.130767,35.582065
土呂,,5.81,,9.59,,6.1,11.18,,,9.31,,,11.0,139.63214,35.931996999999996
東大宮,4.77,5.14,7.3,8.79,,,8.53,,6.25,8.32,,,11.0,139.640291,35.948751
蓮田,,4.69,,,,,8.03,,7.02,,,,11.0,139.65301599999998,35.981272
白岡,6.27,5.5,,7.13,,5.38,,,,,,,11.0,139.66682600000001,36.01774
新白岡,,5.28,,6.8,,,,,,,,,11.0,139.67208,36.038732
久喜,4.28,5.15,,6.13,,5.4,,,,,,,11.0,139.67727,36.065684000000005
東鷲宮,,,,,,,,,,,,,11.0,139.67913000000001,36.089428000000005
栗橋,,5.16,,,,4.77,5.87,,,,,,11.0,139.694177,36.136852000000005
相模湖,,,,,,,,,,,,,14.0,139.1885,35.617335
藤野,,,,,,,,,,,,,14.0,139.15239,35.615918
新日本橋,11.7,10.21,15.31,16.78,,,,,,,,,13.0,139.77323,35.688687
馬喰町,9.79,10.62,13.78,17.05,,20.19,23.5,,,,,,13.0,139.78238000000002,35.693365
東千葉,5.42,5.11,5.78,8.14,5.0,5.84,9.1,,,,,,12.0,140.122261,35.617014000000005
