station_name,pref_cd,post,address,lon,lat
小平,13,187-0041,小平市美園町１-３４-１,139.48849099999998,35.736963
東村山,13,189-0014,東村山市本町２-３-３２,139.465839,35.760059999999996
小川,13,187-0031,小平市小川東町１-２０-１,139.463493,35.737573
萩山,13,189-0012,東村山市萩山町２-１-１,139.476903,35.740759000000004
多摩湖,13,189-0026,東村山市多摩湖町３-１５-１８,139.442747,35.765881
武蔵境,13,180-0022,武蔵野市境１丁目,139.54340200000001,35.702083
青砥,13,125-0062,東京都葛飾区青戸三丁目36番1号,139.856292,35.745883
京成高砂,13,125-0054,東京都葛飾区高砂五丁目28-1,139.866875,35.750932
京成津田沼,12,275-0016,習志野市津田沼３-１-１,140.024823,35.683640000000004
千葉中央,12,260-0014,千葉市中央区本千葉町１５-１,140.11780900000002,35.607354
京成上野,13,110-0007,東京都台東区上野公園1-60,139.773571,35.711232
東松戸,12,270-2221,千葉県松戸市紙敷447,139.942957,35.769954
新鎌ヶ谷,12,273-0107,千葉県鎌ケ谷市新鎌ケ谷一丁目13-1,139.99836100000002,35.779481
新宿,13,160-0023,東京都新宿区西新宿一丁目1-4,139.69918700000002,35.690163
分倍河原,13,183-0021,府中市片町２丁目,139.468798,35.668493
調布,13,182-0024,調布市布田４-３２-１,139.54398799999998,35.652181
北野,13,192-0911,八王子市打越町３３５-１,139.354489,35.644479
東府中,13,183-0015,府中市清水が丘１-８-３,139.495257,35.668766
高幡不動,13,191-0031,日野市高幡１３９,139.41295300000002,35.662361
笹塚,13,151-0073,渋谷区笹塚１-５６-７,139.667251,35.673758
明大前,13,156-0043,世田谷区松原２-４５-１,139.650352,35.668758000000004
下北沢,13,155-0031,世田谷区北沢２丁目,139.66751599999998,35.661654999999996
登戸,14,214-0014,川崎市多摩区登戸,139.569449,35.62115
町田,13,194-0013,町田市原町田１丁目,139.44523600000002,35.544222
海老名,14,243-0434,海老名市上郷,139.390905,35.452709000000006
厚木,14,243-0433,海老名市河原口,139.377896,35.443081
小田原,14,250-0011,小田原市栄町１丁目,139.155396,35.256229
相模大野,14,252-0303,相模原市南区相模大野三丁目8番1号,139.437836,35.532208000000004
藤沢,14,251-0052,藤沢市藤沢,139.48697099999998,35.338558
新百合ヶ丘,14,215-0004,川崎市麻生区万福寺一丁目18番1号,139.507608,35.603705
渋谷,13,150-0002,東京都渋谷区渋谷二丁目24-1,139.702417,35.659545
菊名,14,222-0011,横浜市港北区菊名７丁目,139.63137,35.509854
目黒,13,141-0021,東京都品川区上大崎四丁目2-1,139.7155,35.633272
田園調布,13,145-0071,大田区田園調布３-２５-１８,139.667356,35.596815
多摩川,13,145-0071,大田区田園調布１-５３-８,139.668723,35.589591
新丸子,14,211-0005,川崎市中原区新丸子町７６６,139.66196399999998,35.580490000000005
元住吉,14,211-0025,川崎市中原区木月６７９,139.654668,35.565698
日吉,14,223-0061,横浜市港北区日吉２-１-１,139.646944,35.5539
長津田,14,226-0027,横浜市緑区長津田４丁目,139.493548,35.53196
中央林間,14,242-0007,大和市中央林間３-３-８,139.44493500000002,35.507671
大井町,13,140-0014,品川区大井１丁目,139.735025,35.607535
大岡山,13,145-0062,大田区北千束３-２７-１,139.685909,35.607456
自由が丘,13,152-0035,目黒区自由が丘１-３０-１,139.66866399999998,35.607224
二子玉川,13,158-0094,世田谷区玉川２-２２-１３,139.626685,35.611788
二子新地,14,213-0002,川崎市高津区二子２-２-１,139.62233799999998,35.606994
高津,14,213-0002,川崎市高津区二子４-１-１,139.61693400000001,35.603248
溝の口,14,213-0001,川崎市高津区溝口２-１-１,139.610487,35.59984
五反田,13,141-0022,東京都品川区東五反田二丁目1-1,139.724175,35.625262
旗の台,13,142-0064,品川区旗の台２-１３-１,139.70228600000002,35.604923
蒲田,13,144-0052,大田区蒲田５丁目,139.714626,35.561766999999996
三軒茶屋,13,154-0004,世田谷区太子堂４-２１-１,139.670156,35.643716
下高井戸,13,156-0043,世田谷区松原３-２９-１７,139.641372,35.66615
八丁畷,14,210-0022,川崎市川崎区池田１丁目,139.691346,35.523053999999995
京急蒲田,13,144-0052,大田区蒲田４-５０-１０,139.723681,35.560796
京急川崎,14,210-0006,川崎市川崎区砂子１-３-１,139.70089299999998,35.53285
金沢八景,14,236-0027,横浜市金沢区瀬戸１５-１,139.62018,35.331223
堀ノ内,14,238-0014,横須賀市三春町３-４５,139.686932,35.263220000000004
浅草,13,111-0032,東京都台東区浅草一丁目1-3,139.79759199999998,35.710733000000005
神田,13,101-0041,東京都千代田区神田須田町一丁目16,139.770899,35.693587
銀座,13,104-0061,中央区銀座４-１-２,139.76396499999998,35.671989
赤坂見附,13,107-0052,港区赤坂３-１-６,139.737047,35.677021
南千住,13,116-0003,荒川区南千住４丁目,139.799273,35.733398
入谷,13,110-0013,台東区入谷１-６-４,139.783924,35.719862
秋葉原,13,101-0025,東京都千代田区神田佐久間町一丁目21,139.775459,35.698161999999996
八丁堀,13,104-0032,中央区八丁堀３丁目,139.776982,35.674851000000004
霞ケ関,13,100-0013,千代田区霞が関２丁目,139.750899,35.673838
中目黒,13,153-0051,目黒区上目黒３-４-１,139.698621,35.643854
飯田橋,13,102-0072,東京都千代田区飯田橋四丁目10-3,139.74598600000002,35.701725
大手町,13,100-0004,千代田区大手町１丁目,139.766086,35.684801
日本橋,13,103-0027,中央区日本橋１丁目,139.773516,35.682078000000004
茅場町,13,103-0025,中央区日本橋茅場町１-４-６,139.78000500000002,35.679752
綾瀬,13,120-0005,足立区綾瀬３丁目,139.825019,35.762221999999994
町屋,13,116-0001,荒川区町屋１丁目,139.780501,35.742733
日比谷,13,100-0006,千代田区有楽町１丁目,139.758732,35.674240999999995
国会議事堂前,13,100-0014,千代田区永田町１丁目,139.745219,35.67393
表参道,13,107-0061,港区北青山３丁目,139.712314,35.665246999999994
代々木上原,13,151-0066,渋谷区西原３丁目,139.680153,35.669159
和光市,11,351-0114,埼玉県和光市本町4-6,139.612434,35.788507
小竹向原,13,176-0004,東京都練馬区小竹町二丁目16-15,139.678572,35.743803
飯田橋,13,162-0825,東京都新宿区神楽坂一丁目13,139.74366899999998,35.701934
市ケ谷,13,162-0843,東京都新宿区市谷田町一丁目1,139.73625,35.691389
新木場,13,136-0082,東京都江東区新木場一丁目6,139.826254,35.645832
青山一丁目,13,107-0062,港区南青山１-１-１９,139.72415900000001,35.672765000000005
永田町,13,100-0014,東京都千代田区永田町一丁目11-29,139.740258,35.678757
九段下,13,102-0074,千代田区九段南１-６-１,139.751948,35.695589
三越前,13,103-0022,中央区日本橋室町１-８-１,139.773147,35.684908
押上〈スカイツリー前〉,13,131-0045,墨田区押上一丁目,139.812935,35.710702000000005
王子,13,114-0002,北区王子１丁目,139.737618,35.753966
駒込,13,170-0003,東京都豊島区駒込二丁目,139.746442,35.736959000000006
後楽園,13,112-0003,文京区春日１-２-３,139.75186399999998,35.707898
市ケ谷,13,102-0076,東京都千代田区五番町2-1,139.736389,35.692972
溜池山王,13,100-0014,千代田区永田町２-１１-１,139.741419,35.673621000000004
地下鉄成増,13,175-0094,東京都板橋区成増二丁目11-3,139.631497,35.776557000000004
地下鉄赤塚,13,179-0081,東京都練馬区北町八丁目37-16,139.644021,35.769939
平和台,13,179-0085,東京都練馬区早宮2-17-48,139.653762,35.757863
氷川台,13,179-0084,東京都練馬区氷川台三丁目38-18,139.66556699999998,35.74955
千川,13,171-0043,東京都豊島区要町三丁目10-7,139.689271,35.738229
要町,13,171-0043,東京都豊島区要町一丁目1-10,139.698715,35.73323
新宿三丁目,13,160-0022,新宿区新宿３-１４-１,139.704828,35.690853000000004
明治神宮前〈原宿〉,13,150-0001,渋谷区神宮前１丁目,139.705367,35.668496999999995
大和,14,242-0016,大和市大和南１-１-１,139.461383,35.469924
二俣川,14,241-0821,横浜市旭区二俣川２-９１-７,139.532207,35.463335
湘南台,14,252-0804,藤沢市湘南台２-１５,139.467031,35.396642
西谷,14,240-0052,横浜市保土ケ谷区西谷町１１０１,139.565721,35.478092
東新宿,13,160-0022,新宿区新宿７-２７-３,139.707549,35.69792
飯田橋,13,112-0004,東京都文京区後楽一丁目9-5,139.744999,35.702927
本郷三丁目,13,113-0033,文京区本郷２-３９-１,139.760095,35.707462
両国,13,130-0015,墨田区横網１丁目,139.79742099999999,35.696881
