station_name,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK,pref_cd,lon,lat,travel_time_train,travel_time_bicycle
西武立川,,4.8,,7.3,,,,,,8.21,,,13.0,139.370124,35.7262,62,141
新桜台,5.96,7.1,9.4,12.24,7.89,9.47,,,,,,,13.0,139.6683,35.74077,25,47
一橋学園,4.32,5.18,6.79,8.5,,6.97,8.43,,,11.17,,,13.0,139.48003899999998,35.72217,46,95
青梅街道,4.45,5.28,,,,7.21,8.31,,,,,,13.0,139.476628,35.73097999999999,48,95
八坂,3.79,6.46,,8.77,,7.12,,,8.23,,,,13.0,139.467676,35.744925,51,101
武蔵大和,,4.44,,6.3,,5.68,7.4,,,,,,13.0,139.444008,35.756427,55,113
多摩湖,,,,,,,,,,,,,13.0,139.442747,35.765881,57,117
新小金井,5.84,5.88,6.8,9.8,,8.32,,,,,,,13.0,139.526603,35.695908,39,76
多磨,4.85,5.82,,8.8,,7.01,,,,,,,13.0,139.51713,35.67682100000001,42,74
白糸台,4.68,6.42,,8.58,7.2,7.89,9.72,,,,,,13.0,139.509862,35.666517,36,73
競艇場前,,5.02,,8.33,5.84,,,,,,,,13.0,139.499721,35.656232,46,80
是政,,5.26,,8.64,,,12.6,,,,,,13.0,139.48859199999998,35.656242,49,85
恋ヶ窪,5.18,6.17,8.53,7.99,,6.9,,,,,,,13.0,139.463944,35.711385,44,103
鷹の台,3.93,5.4,,8.5,,,,,,,,,13.0,139.461155,35.723097,46,103
豊島園,6.62,6.85,8.97,15.16,,9.56,20.09,,,18.44,,,13.0,139.647979,35.742054,33,53
西武園ゆうえんち,,,,,,,,,,,,,11.0,139.440166,35.769042,63,120
西武球場前,,,,,,,,,,,,,11.0,139.41966000000002,35.77093,56,130
西武園,,,,,,,,,,,,,13.0,139.448904,35.767684,66,120
新宿西口,11.49,9.81,,,,,,,,,,,13.0,139.69915500000002,35.69331500000001,10,17
若松河田,7.91,9.33,10.96,19.38,13.4,14.26,29.88,,,28.55,,,13.0,139.718184,35.699218,17,23
牛込柳町,9.68,9.47,12.51,19.32,,,28.06,,,33.61,,,13.0,139.725027,35.699518,18,22
牛込神楽坂,10.66,10.04,13.2,20.19,15.13,,28.87,,,50.88,,,13.0,139.735802,35.700851,21,26
春日,9.36,9.26,12.94,17.95,8.5,19.64,25.93,,23.2,39.42,,,13.0,139.75325,35.709598,23,34
上野御徒町,10.67,9.51,,16.69,,,,,,,,,13.0,139.77433200000002,35.707893,29,43
新御徒町,8.93,10.12,12.33,15.61,,16.77,20.32,,,26.03,,,13.0,139.781958,35.707045,31,47
蔵前,9.37,9.94,12.0,16.18,10.69,17.46,20.13,,,25.92,,,13.0,139.790931,35.703236,32,47
森下,8.58,9.32,11.51,15.21,9.31,11.33,19.09,,,25.77,,,13.0,139.797042,35.68796,27,43
勝どき,12.02,10.12,14.74,18.44,12.86,15.43,26.56,,,26.5,,,13.0,139.776442,35.658507,25,41
築地市場,11.69,10.47,14.49,18.56,,,22.94,,,,,,13.0,139.76691499999998,35.664895,23,35
汐留,14.02,12.31,,22.76,,18.33,29.51,,,,,,13.0,139.760642,35.66370300000001,20,30
大門,12.21,11.39,16.6,19.55,,19.67,31.58,,,29.61,,,13.0,139.75466,35.656785,18,26
赤羽橋,11.78,11.58,14.49,23.59,11.76,16.41,39.55,,,88.75,,,13.0,139.743642,35.655007,15,21
国立競技場,11.83,12.57,14.25,23.97,,,29.96,,,,,,13.0,139.714932,35.679831,10,11
都庁前,9.39,10.02,11.79,22.91,,,29.84,,,,,,13.0,139.69257,35.690551,13,16
西新宿五丁目,8.73,9.15,11.84,16.47,8.55,13.1,23.84,,,29.69,,,13.0,139.684304,35.689798,16,17
落合南長崎,6.83,7.82,8.99,12.85,9.22,10.63,13.7,,,,,,13.0,139.683303,35.723608,24,35
新江古田,6.9,7.33,9.69,14.77,8.81,10.98,15.68,,,21.27,,,13.0,139.67065300000002,35.732538,27,41
練馬春日町,6.52,7.46,10.09,12.19,,9.32,14.17,,,,,,13.0,139.64023600000002,35.751452,34,58
光が丘,6.96,6.59,,10.36,,,,,,,,,13.0,139.628603,35.758526,36,66
三田,10.77,10.48,14.22,19.96,,15.27,32.61,,,43.8,,,13.0,139.748775,35.64818,18,19
芝公園,12.3,10.48,13.81,20.07,,,30.85,,,,,,13.0,139.749824,35.654074,20,23
御成門,11.99,10.97,16.59,21.68,,,34.25,,,,,,13.0,139.75153500000002,35.66121500000001,22,24
内幸町,12.35,10.84,12.12,,,,,,,,,,13.0,139.75561000000002,35.66975,16,26
白山,8.61,8.45,12.65,15.76,8.87,12.05,23.03,,,35.2,,,13.0,139.752136,35.72140800000001,25,43
千石,8.38,8.92,10.36,15.67,10.01,13.07,20.29,15.93,,,,,13.0,139.744792,35.727957,20,45
