station,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK
八王子,4.32,6.29,7.53,10.49,6.00,7.46,10.83,,11.13,14.85,,
西八王子,3.79,5.94,6.66,9.39,,6.88,9.98,,9.00,,,
高尾,3.94,5.31,,,,7.15,11.34,,,,,
千葉,6.08,6.19,6.96,9.13,,6.69,11.60,,8.57,15.57,,
西千葉,5.61,4.97,7.32,9.13,,,8.97,,,16.66,,
稲毛,5.60,5.55,6.68,8.42,,7.52,9.49,,8.43,,,
新検見川,5.25,5.37,,7.23,5.20,6.52,8.86,,,,,
幕張,6.00,5.80,6.64,8.22,,6.56,,,7.02,,,
幕張本郷,4.61,6.11,7.70,8.51,,7.85,11.58,,8.76,10.98,,
津田沼,5.43,6.24,7.12,10.56,,,14.33,,,15.24,,
東船橋,6.44,6.29,7.12,9.45,,8.29,10.36,,8.42,,,
船橋,6.22,6.73,7.67,11.87,7.02,8.20,14.50,,,16.26,,
西船橋,7.42,6.87,8.19,10.11,6.73,8.45,11.76,,9.44,11.87,,
下総中山,5.45,6.45,7.70,10.00,,7.62,12.14,,,,,
本八幡,6.30,6.84,7.70,9.76,6.87,8.47,12.19,,10.23,18.78,,
市川,6.60,6.64,7.50,10.66,7.19,8.82,13.66,,,19.84,,
小岩,5.76,6.72,7.76,9.96,8.16,9.00,13.42,,,11.20,,
新小岩,6.34,7.48,7.75,11.59,,9.10,13.76,,,,,
平井,6.31,6.97,8.26,10.82,,13.04,15.16,,,19.15,,
亀戸,8.02,8.26,9.65,13.30,9.67,10.90,15.49,,,16.77,,
錦糸町,8.75,8.92,11.38,14.40,9.03,14.56,19.56,,,21.04,,
両国,8.69,9.42,11.10,15.74,10.74,12.59,19.65,,,,,
浅草橋,9.02,10.17,12.12,16.80,13.22,16.05,21.98,,,,,
戸塚,5.73,6.70,9.37,11.36,,8.11,,,,16.44,,
藤沢,5.81,6.80,7.27,9.47,,7.94,12.11,,,14.55,,
辻堂,5.99,5.95,,,,7.90,8.07,,,17.70,,
茅ケ崎,5.59,5.66,6.17,10.57,,8.45,,,,21.31,,
平塚,5.49,5.83,,,,6.47,10.55,,,12.68,,
大磯,,4.86,,,,,,,,,,
二宮,,5.57,,,,,,,,,,
国府津,,4.47,,6.77,,,,,,,,
鴨宮,4.11,5.15,5.17,6.66,,6.35,6.39,,6.47,,,
小田原,5.64,6.35,,7.06,,6.11,,,,,,
早川,,3.96,,,,,,,,,,
根府川,,,,,,,,,,,,
真鶴,,,,,,,,,,,,
湯河原,,5.37,,,,,,,,,,
三河島,6.96,8.45,8.58,12.14,8.32,10.36,19.24,,,,,
南千住,7.83,8.16,10.71,15.28,8.36,10.83,19.73,,,18.33,,
北千住,6.56,7.57,9.19,12.16,8.34,9.80,15.63,,,18.67,,
綾瀬,6.27,6.87,7.88,10.90,7.02,8.73,11.17,,10.16,13.01,,
亀有,6.39,6.99,8.05,10.25,11.09,8.93,12.50,,10.97,12.20,,
金町,5.28,6.32,6.63,10.34,,8.32,11.63,,,13.66,,
松戸,6.14,6.48,7.74,10.95,,8.50,11.59,,,16.46,,
北松戸,6.41,5.75,6.86,7.94,,7.13,8.74,,8.57,,,
馬橋,5.30,5.82,7.23,7.59,,5.89,9.84,,6.80,11.91,,
新松戸,5.40,5.62,4.80,7.50,,5.49,8.39,,,9.56,,
北小金,4.49,5.08,,7.87,,6.88,9.04,,,,,
南柏,4.84,5.38,6.32,9.31,,6.47,10.60,,,11.03,,
柏,4.90,6.38,7.84,10.16,,10.44,12.74,,,14.80,,
北柏,4.11,4.79,,7.13,,,,,,9.49,,
我孫子,4.24,4.95,,8.71,,5.84,9.04,,,,,
天王台,3.67,4.62,,7.41,,5.70,9.39,,,8.70,,
片倉,3.96,4.83,,7.99,,6.59,8.20,,7.78,,,
八王子みなみ野,5.69,5.82,,8.55,,,10.25,,,11.70,,
相原,4.20,4.91,,7.64,,6.82,7.80,,6.96,,,
